Date (YYYY-MM-DD),Action (Open / Close / Adjust / No Action),Ticker,Asset Name,"Type (Stock, ETF, Bond, FX, etc.)",Quantity (positive number),Price per Unit,Trade Currency,Gross Trade Value (=Qty*Price),Fees / Commission,Net Trade Value,Position After Trade (units),Brief Reason (or reason for no change),
2026-03-03,No Action,JNJ,Johnson & Johnson,Stock,260, $244.64 ,USD,63606.4,10,"63,616.40",260,Healthcare defensive. Stable earnings and dividend profile unchanged. Hold.,
2026-03-03,No Action,PG,Procter & Gamble Co.,Stock,235, $162.45 ,USD,38175.75,10,"38,185.75",235,FMCG defensive. Strong global brands and resilient demand. Hold.,
2026-03-03,No Action,WMT,Walmart Inc.,Stock,570, $132.95 ,USD,75781.5,10,"75,791.50",570,"Down about 5%. Retail under pressure, but defensive thesis intact. Stop-loss placed at $118. Monitor.",
2026-03-03,No Action,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD,36360,10,"36,370.00",800,Utilities ETF. Low?beta defensive working during volatility. Hold.,
2026-03-03,No Action,TSM,Taiwan Semiconductor Manufacturing ? ADR,Stock,230, $363.94 ,USD,83706.2,10,"83,716.20",230,AI foundry thesis intact and strengthening. Guidance unchanged. Hold.,
2026-03-03,Adjust,MU,Micron Technology Inc.,Stock,95, $381.14 ,USD,-36208.3,10,"-36,198.30",15,"Trailing stop-loss on MU triggered; trimmed 95 shares after strong run, kept 15?share residual for AI memory thesis.",
2026-03-03,No Action,PLTR,Palantir Technologies Inc.,Stock,388, $131.48 ,USD,51014.24,10,"51,024.24",388,AI defense software thesis intact. Volatility within acceptable range. Hold.,
2026-03-03,No Action,JPM,JPMorgan Chase & Co.,Stock,150, $306.82 ,USD,46023,10,"46,033.00",150,Slight drawdown on rate repricing. Banking fundamentals unchanged. Hold (before later exit).,
2026-03-03,No Action,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD,50217.5,10,"50,227.50",250,AWS cloud and e?commerce thesis intact; AI workloads support demand. Hold.,
2026-03-03,No Action,GOOGL,Alphabet Inc ? Class A,Stock,130, $302.22 ,USD,39288.6,10,"39,298.60",130,Big tech AI infrastructure thesis intact. Gemini and search dominance support. Trailing stop at 7%. Hold.,
2026-03-03,No Action,GE,GE Aerospace,Stock,140, $329.44 ,USD,46121.6,10,"46,131.60",140,Industrial/aerospace thesis intact. Up ~3%. Trailing stop at 5% in place prior to trigger. Hold at check?in.,
2026-03-03,No Action,IONQ,IonQ Inc,Stock,800, $33.60 ,USD,26880,10,"26,890.00",800,"Speculative quantum computing, sized ~2.7% of portfolio. Long?term thesis; short?term volatility expected. Hold.",
2026-03-03,No Action,XLE,Energy Select Sector SPDR,ETF,60, $57.95 ,USD,3477,10,"3,487.00",60,Energy ETF. Geopolitical risk premium from US?Iran tensions supports near?term oil prices. Tactical position.,
2026-03-03,No Action,XOM,Exxon Mobil Corp,Stock,75, $159.75 ,USD,11981.25,10,"11,991.25",75,Integrated oil major. Geopolitical hedge benefiting from elevated crude and strong margins. Hold.,
2026-03-03,Close,GE,GE Aerospace,Stock,140, $329.81 ,USD,-46173.4,10,"-46,163.40",0,Trailing stop-loss hit on GE later that day; full position closed to protect gains and free capital.,
2026-03-04,Close,LMT,Lockheed Martin Corp.,Stock,100, $654.18 ,USD,-65418,10,"-65,408.00",0,Trailing stop on LMT triggered; locked in profit before reassessing entry.,
2026-03-09,No Action,GOOGL,Alphabet Inc ? Class A,Stock,130, $0.21 ,USD,27.3,0,27.30,130,Dividend payment received on GOOGL; no change to position size or thesis.,
2026-03-12,Close,WMT,Walmart Inc.,Stock,570, $124.61 ,USD,-71027.7,10,"-71,017.70",0,Closed WMT after sustained underperformance; capital reallocated to higher?conviction retail (TGT).,
2026-03-12,Close,JPM,JPMorgan Chase & Co.,Stock,150, $281.04 ,USD,-42156,10,"-42,146.00",0,Exited JPM as financials lag and rate?cut expectations shift; redeploying capital into other sectors.,
2026-03-12,Adjust,XLP,Consumer Staples Select Sector SPDR,ETF,435, $84.58 ,USD,-36792.3,10,"-36,782.30",440,Halved XLP to reduce over?weight in staples while keeping a defensive core.,
2026-03-13,Open,LMT,Lockheed Martin Corp.,Stock,120, $651.62 ,USD,78194.4,10,"78,204.40",120,"Re?entered LMT after stop; defense backlog and spending thesis unchanged, so rebuilt position.",
2026-03-13,Open,TGT,Target Corp,Stock,610, $116.98 ,USD,71357.8,10,"71,367.80",610,"Initiated TGT as replacement for WMT, leaning into turnaround and earnings momentum.",
2026-03-16,Open,ITA,iShares U.S. Aerospace & Defense ETF,ETF,100, $231.91 ,USD,23191,10,"23,201.00",100,Added broad defense ETF around LMT to diversify single?name risk.,
2026-03-16,Open,NBIS,Nebius Group N.V. ? Class A,Stock,135, $124.80 ,USD,16848,10,"16,858.00",135,Small speculative AI?infrastructure satellite after building core energy/defense positions.,
2026-03-16,Open,NVDA,NVIDIA Corp,Stock,274, $184.04 ,USD,50426.96,10,"50,436.96",274,Built NVDA position ahead of GTC conference as main AI catalyst for the portfolio.,
2026-03-16,Open,ORCL,Oracle Corp.,Stock,161, $155.76 ,USD,25077.36,10,"25,087.36",161,Entered Oracle after strong earnings and cloud growth; value?tilted AI infrastructure exposure.,
2026-03-16,Open,IBB,iShares Biotechnology ETF,ETF,120, $167.12 ,USD,20054.4,10,"20,064.40",120,Added diversified biotech exposure to capture sector strength and ongoing M&A.,
2026-03-16,Open,SIEGY,Siemens AG ? ADR,Stock,150, $126.70 ,USD,19004.25,10,"19,014.25",150,"European industrial core with strong electrification/automation order book, adding non?US energy?transition exposure beyond XOM/XLE.",
,,,,,,,,,,,,,
2026-03-03,No Action,SPY,SPDR S&P 500 ETF Trust,ETF,295, $684.89 ,USD,#VALUE!,10,#VALUE!,295,Core benchmark exposure. Portfolio outperforming S&P this period. Thesis unchanged; no stop-loss on index. Hold.,
2026-03-03,No Action,XLP,Consumer Staples Select Sector SPDR,ETF,875, $89.52 ,USD,78330,10,"78,340.00",875,Consumer staples ETF. Minor unrealized loss within normal range. Defensive allocation working as intended. Hold.,
2026-03-03,No Action,JNJ,Johnson & Johnson,Stock,260, $244.64 ,USD,63606.4,10,"63,616.40",260,Healthcare defensive. Stable earnings and dividend profile unchanged. Hold.,
2026-03-03,No Action,PG,Procter & Gamble Co.,Stock,235, $162.45 ,USD,38175.75,10,"38,185.75",235,FMCG defensive. Strong global brands and resilient demand. Hold.,
2026-03-03,No Action,WMT,Walmart Inc.,Stock,570, $132.95 ,USD,75781.5,10,"75,791.50",570,"Down about 5%. Retail under pressure, but defensive thesis intact. Stop-loss placed at $118. Monitor.",
2026-03-03,No Action,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD,36360,10,"36,370.00",800,Utilities ETF. Low?beta defensive working during volatility. Hold.,
2026-03-03,No Action,TSM,Taiwan Semiconductor Manufacturing ? ADR,Stock,230, $363.94 ,USD,83706.2,10,"83,716.20",230,AI foundry thesis intact and strengthening. Guidance unchanged. Hold.,
2026-03-03,Adjust,MU,Micron Technology Inc.,Stock,95, $381.14 ,USD,-36208.3,10,"-36,198.30",15,"Trailing stop-loss on MU triggered; trimmed 95 shares after strong run, kept 15?share residual for AI memory thesis.",
2026-03-03,No Action,PLTR,Palantir Technologies Inc.,Stock,388, $131.48 ,USD,51014.24,10,"51,024.24",388,AI defense software thesis intact. Volatility within acceptable range. Hold.,
2026-03-03,No Action,JPM,JPMorgan Chase & Co.,Stock,150, $306.82 ,USD,46023,10,"46,033.00",150,Slight drawdown on rate repricing. Banking fundamentals unchanged. Hold (before later exit).,
2026-03-03,No Action,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD,50217.5,10,"50,227.50",250,AWS cloud and e?commerce thesis intact; AI workloads support demand. Hold.,
2026-03-03,No Action,GOOGL,Alphabet Inc ? Class A,Stock,130, $302.22 ,USD,39288.6,10,"39,298.60",130,Big tech AI infrastructure thesis intact. Gemini and search dominance support. Trailing stop at 7%. Hold.,
2026-03-03,No Action,GE,GE Aerospace,Stock,140, $329.44 ,USD,46121.6,10,"46,131.60",140,Industrial/aerospace thesis intact. Up ~3%. Trailing stop at 5% in place prior to trigger. Hold at check?in.,
2026-03-03,No Action,IONQ,IonQ Inc,Stock,800, $33.60 ,USD,26880,10,"26,890.00",800,"Speculative quantum computing, sized ~2.7% of portfolio. Long?term thesis; short?term volatility expected. Hold.",
2026-03-03,No Action,XLE,Energy Select Sector SPDR,ETF,60, $57.95 ,USD,3477,10,"3,487.00",60,Energy ETF. Geopolitical risk premium from US?Iran tensions supports near?term oil prices. Tactical position.,
2026-03-03,No Action,XOM,Exxon Mobil Corp,Stock,75, $159.75 ,USD,11981.25,10,"11,991.25",75,Integrated oil major. Geopolitical hedge benefiting from elevated crude and strong margins. Hold.,
2026-03-03,Close,GE,GE Aerospace,Stock,140, $329.81 ,USD,-46173.4,10,"-46,163.40",0,Trailing stop-loss hit on GE later that day; full position closed to protect gains and free capital.,
2026-03-04,Close,LMT,Lockheed Martin Corp.,Stock,100, $654.18 ,USD,-65418,10,"-65,408.00",0,Trailing stop on LMT triggered; locked in profit before reassessing entry.,
2026-03-09,No Action,GOOGL,Alphabet Inc ? Class A,Stock,130, $0.21 ,USD,27.3,0,27.30,130,Dividend payment received on GOOGL; no change to position size or thesis.,
2026-03-12,Close,WMT,Walmart Inc.,Stock,570, $124.61 ,USD,-71027.7,10,"-71,017.70",0,Closed WMT after sustained underperformance; capital reallocated to higher?conviction retail (TGT).,
2026-03-12,Close,JPM,JPMorgan Chase & Co.,Stock,150, $281.04 ,USD,-42156,10,"-42,146.00",0,Exited JPM as financials lag and rate?cut expectations shift; redeploying capital into other sectors.,
2026-03-12,Adjust,XLP,Consumer Staples Select Sector SPDR,ETF,435, $84.58 ,USD,-36792.3,10,"-36,782.30",440,Halved XLP to reduce over?weight in staples while keeping a defensive core.,
2026-03-13,Open,LMT,Lockheed Martin Corp.,Stock,120, $651.62 ,USD,78194.4,10,"78,204.40",120,"Re?entered LMT after stop; defense backlog and spending thesis unchanged, so rebuilt position.",
2026-03-13,Open,TGT,Target Corp,Stock,610, $116.98 ,USD,71357.8,10,"71,367.80",610,"Initiated TGT as replacement for WMT, leaning into turnaround and earnings momentum.",
2026-03-16,Open,ITA,iShares U.S. Aerospace & Defense ETF,ETF,100, $231.91 ,USD,23191,10,"23,201.00",100,Added broad defense ETF around LMT to diversify single?name risk.,
2026-03-16,Open,NBIS,Nebius Group N.V. ? Class A,Stock,135, $124.80 ,USD,16848,10,"16,858.00",135,Small speculative AI?infrastructure satellite after building core energy/defense positions.,
2026-03-16,Open,NVDA,NVIDIA Corp,Stock,274, $184.04 ,USD,50426.96,10,"50,436.96",274,Built NVDA position ahead of GTC conference as main AI catalyst for the portfolio.,
2026-03-16,Open,ORCL,Oracle Corp.,Stock,161, $155.76 ,USD,25077.36,10,"25,087.36",161,Entered Oracle after strong earnings and cloud growth; value?tilted AI infrastructure exposure.,
2026-03-16,Open,IBB,iShares Biotechnology ETF,ETF,120, $167.12 ,USD,20054.4,10,"20,064.40",120,Added diversified biotech exposure to capture sector strength and ongoing M&A.,
2026-03-16,Open,SIEGY,Siemens AG ? ADR,Stock,150, $126.70 ,USD,19004.25,10,"19,014.25",150,"European industrial core with strong electrification/automation order book, adding non?US energy?transition exposure beyond XOM/XLE.",
,,,,,,,,,,,,,
24/03/2026,No Action,SPY,SPDR S&P 500 ETF Trust,ETF,295, $684.89 ,USD,202042.55,10,"202,052.55",295,Core benchmark exposure; no rebalance as portfolio maintaint to outperrform without excess risk concentration,
24/03/2026,No Action,XLP,Consumer Staples Select Sector SPDR,ETF,440, $89.52 ,USD,39388.8,10,"39,398.80",440,Defensive allocation maintained after prior reduction; it helps maintin stabillity in our portfolio against external macro volatility ,
24/03/2026,No Action,JNJ,Johnson & Johnson,Stock,260, $244.64 ,USD,63606.4,10,"63,616.40",260,Healthcare defensive with consistent earnign and dividend; there are no catalysts to justify realloction,
24/03/2026,No Action,PG,Procter & Gamble Co.,Stock,235, $162.45 ,USD,38175.75,10,"38,185.75",235,Strong pricing power and has a lot of demadn; remains a low-volatiltiy consumer staple anchor,
24/03/2026,No Action,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD,36360,10,"36,370.00",800,The utilities ETF is held as a low-beta hedge against equity market drawdowns and rate uncertainity ,
24/03/2026,No Action,TSM,Taiwan Semiconductor Manufacturing ? ADR,Stock,230, $363.94 ,USD,83706.2,10,"83,716.20",230,AI supply-chain leader; maintained demand from hyperscalers back the long-term growth thesis,
24/03/2026,No Action,MU,Micron Technology Inc.,Stock,15, $408.82 ,USD,6132.3,10,"6,142.30",15,Small position reatained post-trim; keeps exposure to cyclical AI memory upside wothout adding risk ,
24/03/2026,No Action,PLTR,Palantir Technologies Inc.,Stock,388, $131.48 ,USD,51014.24,10,"51,024.24",388,AI and defense software remains strong; the volatility is currently within the acceptable tange and there are no adjustments needed,
24/03/2026,No Action,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD,50217.5,10,"50,227.50",250,AWS and AI-driven cloud growht maintains to support revenue exapnasion; long term thesis intact,
24/03/2026,No Action,IONQ,IonQ Inc,Stock,800, $33.60 ,USD,26880,10,"26,890.00",800,High-risk specualtive position maintained through small allocation; long-term optionality outweighs short-term volatility,
24/03/2026,No Action,XLE,Energy Select Sector SPDR,ETF,60, $57.95 ,USD,3477,10,"3,487.00",60,Retained due to tactical hedge against geopolitical risks and increased oil price envrionment ,
24/03/2026,No Action,XOM,Exxon Mobil Corp,Stock,75, $159.75 ,USD,11981.25,10,"11,991.25",75,Strong cash flow and oil price backs continued exposure as energy hedge,
24/03/2026,No Action,GOOGL,Alphabet Inc ? Class A,Stock,130, $302.22 ,USD,39288.6,10,"39,298.60",130,AI intergration across cloud support and search supports earnings outlook; the position is held with risk controls in place,
24/03/2026,No Action,LMT,Lockheed Martin Corp.,Stock,120, $651.62 ,USD,78194.4,10,"78,204.40",120,Defense spending visibility and strong backlog support continuted to hols after re-entry. Hold.,
24/03/2026,No Action,TGT,Target Corp,Stock,610, $116.98 ,USD,71357.8,10,"71,367.80",610,Monitoring recovert in margins and operations. No adjustment yet. Hold ,
24/03/2026,No Action,ITA,iShares U.S. Aerospace & Defense ETF,ETF,100, $231.91 ,USD,23191,10,"23,201.00",100,Broad exposure to defense sector. Reduces single-stock risk. Hold,
24/03/2026,No Action,NBIS,Nebius Group N.V. ? Class A,Stock,135, $124.80 ,USD,16848,10,"16,858.00",135,High-risk AI infrastructure play with strong upside potential.,
24/03/2026,No Action,NVDA,NVIDIA Corp,Stock,274, $184.04 ,USD,50426.96,10,"50,436.96",274,Market leader in AI with sustained demand and growth.,
24/03/2026,No Action,ORCL,Oracle Corp.,Stock,161, $155.76 ,USD,25077.36,10,"25,087.36",161,Well-positioned for growth through enterprise AI and cloud.,
24/03/2026,No Action,IBB,iShares Biotechnology ETF,ETF,120, $167.12 ,USD,20054.4,10,"20,064.40",120,Diversified biotech exposure benefiting from innovation and M&A.,
24/03/2026,No Action,SIEGY,Siemens AG ? ADR,Stock,150, $126.70 ,USD,19005,10,"19,015.00",150,European industrial exposure with upside from electrification trends.,
-----,-----,-----,-----,-----,EMEREGENCY, TRIAGE ,MODE,-----,-----,-----,-----,-----,
2026-03-30,Close,SPY,SPDR S&P 500 ETF Trust,ETF,295, $631.64 ,USD,-186333.8,10,"-186,323.80",0,Emergency charter override: liquidating core index position as market selloff accelerates. Reallocating to inverse ETFs and safe havens.,
2026-03-30,Adjust,TSM,Taiwan Semiconductor Manufacturing ? ADR,Stock,230, $315.12 ,USD,72477.6,10,"72,487.60",460,Execution error: Misclick resulted in additional 230 shares purchased instead of sell. Corrective sell executed immediately after.,
2026-03-30,Close,TSM,Taiwan Semiconductor Manufacturing ? ADR,Stock,460, $314.70 ,USD,-144762,10,"-144,752.00",0,Corrective full close of TSM. Geopolitical panic and Nasdaq correction dragging semiconductors down regardless of fundamental guidance.,
2026-03-30,Adjust,TGT,Target Corp,Stock,610, $118.31 ,USD,72169.1,10,"72,179.10",1220,Execution error: Misclick resulted in additional 610 shares purchased instead of sell. Corrective sell executed immediately after.,
2026-03-30,Close,TGT,Target Corp,Stock,1220, $118.14 ,USD,-144130.8,10,"-144,120.80",0,Corrective full close of TGT. Liquidating retail exposure; broad market inflation fears render consumer discretionary vulnerable.,
2026-03-30,Close,PG,Procter & Gamble Co.,Stock,235, $144.83 ,USD,-34035.05,10,"-34,025.05",0,"Closing defensive position; in a severe downturn, defensives bleed too slowly to provide alpha needed in final 12 days.",
2026-03-30,Close,IONQ,IonQ Inc,Stock,800, $26.07 ,USD,-20856,10,"-20,846.00",0,Emergency cut: speculative quantum position down 21%. Unprofitable tech must be liquidated in risk-off environment.,
2026-03-30,Close,NBIS,Nebius Group N.V. ? Class A,Stock,135, $89.92 ,USD,-12139.2,10,"-12,129.20",0,Cutting speculative AI satellite; down over 27%. High-beta tech is untenable during broader tech correction.,
2026-03-30,Close,JNJ,Johnson & Johnson,Stock,260, $241.88 ,USD,-62888.8,10,"-62,878.80",0,Closing healthcare defensive to free capital. Dividend yield insufficient to offset rapid market drawdown in 12-day window.,
2026-03-30,Open,CENX,Century Aluminum Co.,Stock,1150, $53.49 ,USD,61513.5,10,"61,523.50",1150,Momentum play: aluminum stocks surging on Middle East supply shock. Pure-play exposure to geopolitically-driven supply crunch.,
2026-03-30,Open,AA,Alcoa Corp.,Stock,980, $62.99 ,USD,61730.2,10,"61,740.20",980,Companion trade to CENX. Alcoa up ~7% today on aluminum supply disruption. Largest domestic aluminum producer with direct exposure.,
2026-03-30,Open,GLD,SPDR Gold Trust,ETF,350, $415.00 ,USD,145250,10,"145,260.00",350,Capital flight safe haven. Gold is the primary momentum asset as equity market bleeds and war/inflation fears rise.,
2026-03-30,Open,SH,ProShares Short S&P500,ETF,2500, $39.01 ,USD,97525,10,"97,535.00",2500,Inverse S&P500 hedge. Generates positive returns as benchmark continues to correct; direct offset to remaining long exposure.,
2026-03-30,Open,PSQ,ProShares Short QQQ,ETF,4500, $33.31 ,USD,149895,10,"149,905.00",4500,Inverse Nasdaq hedge. Nasdaq in confirmed correction; largest single bet as tech is the epicenter of the selloff.,
,,,,,,,,,,,,,
2026-03-31,No Action,XLP,Consumer Staples Select Sector SPDR,ETF,440, $89.52 ,USD," $39,388.80 ",10," $39,398.80 ",440,Retained to provide a low-beta floor; internal volatility remains within historic norms for staples.,,,,
2026-03-31,No Action,XLU,Utilities Select Sector SPDR,ETF,800, $45.45 ,USD," $36,360.00 ",10," $36,370.00 ",800,Kept as a bond-proxy; essential for stability while the broader equity market finds a bottom.,,,,
2026-03-31,No Action,MU,Micron Technology Inc.,Stock,15, $408.82 ,USD," $6,132.30 ",10," $6,142.30 ",15,Residual holding kept to maintain a 'toe-hold' in memory; size is too small to warrant further liquidation costs.,,,,
2026-03-31,No Action,PLTR,Palantir Technologies Inc.,Stock,388, $131.48 ,USD," $51,014.24 ",10," $51,024.24 ",388,Defense software contracts provide a fundamental buffer; no technical reason to exit despite Nasdaq pressure.,,,,
2026-03-31,No Action,AMZN,Amazon.com Inc.,Stock,250, $200.87 ,USD," $50,217.50 ",10," $50,227.50 ",250,High-conviction AI/Cloud core; held through the correction to avoid exiting at a local technical low.,,,,
2026-03-31,No Action,XLE,Energy Select Sector SPDR,ETF,60, $57.95 ,USD," $3,477.00 ",10," $3,487.00 ",60,Maintained as an inflation/geopolitical hedge; sector remains in a confirmed uptrend relative to SPY.,,,,
2026-03-31,No Action,XOM,Exxon Mobil Corp,Stock,75, $159.75 ,USD," $11,981.25 ",10," $11,991.25 ",75,Cash flow king; held to offset high-beta growth losses via strong dividend and energy price correlation.,,,,
2026-03-31,No Action,GOOGL,Alphabet Inc � Class A,Stock,130, $302.22 ,USD," $39,288.60 ",10," $39,298.60 ",130,Search/AI dominance provides structural safety; held as part of the core 'quality' basket.,,,,
2026-03-31,No Action,LMT,Lockheed Martin Corp.,Stock,120, $651.62 ,USD," $78,194.40 ",10," $78,204.40 ",120,Primary defense exposure; geopolitical backlog thesis remains the strongest growth driver in the portfolio.,,,,
2026-03-31,No Action,ITA,iShares U.S. Aerospace & Defense ETF,ETF,100, $231.91 ,USD," $23,191.00 ",10," $23,201.00 ",100,Held to mitigate single-stock idiosyncratic risk from LMT; aerospace sector showing relative strength.,,,,
2026-03-31,No Action,NVDA,NVIDIA Corp,Stock,274, $184.04 ,USD," $50,426.96 ",10," $50,436.96 ",274,AI market leader; keeping position size constant to participate in any eventual 'flight to quality' rebound.,,,,
2026-03-31,No Action,ORCL,Oracle Corp.,Stock,161, $155.76 ,USD," $25,077.36 ",10," $25,087.36 ",161,Enterprise AI cloud growth remains stable; valuation remains more attractive than pure-play SaaS peers.,,,,
